id,name,location,x,y,cashLevel,dailyWithdrawalRate,daysSinceRefill,timeToEmpty_hrs,status
87,ATM_087,Shakti Nagar,60.89,90.93,41.40,2520.88,3,3941.11,LOW     
81,ATM_081,Alipur,20.23,32.82,68.02,4061.45,12,4019.69,LOW     
50,ATM_050,Krishna Nagar,88.38,96.29,45.14,2662.28,3,4069.18,LOW     
62,ATM_062,Seelampur,12.51,53.43,38.87,2268.71,9,4111.63,LOW     
70,ATM_070,Wazirabad,67.96,34.93,48.69,2774.86,12,4210.82,LOW     
6,ATM_006,Rohini Sector 3,13.10,86.25,46.46,2623.88,8,4249.55,LOW     
52,ATM_052,Mayur Vihar 2,54.44,66.48,58.36,3294.50,14,4251.48,LOW     
2,ATM_002,Lajpat Nagar,19.63,97.59,51.23,2887.02,1,4258.94,LOW     
66,ATM_066,Johri Enclave,19.90,5.10,70.10,3917.80,1,4294.27,LOW     
20,ATM_020,GTB Nagar,53.12,30.74,34.34,1900.96,5,4336.08,LOW     
69,ATM_069,Bhajanpura,21.49,40.20,58.53,3206.98,10,4380.40,LOW     
89,ATM_089,Nabi Karim,19.93,3.63,53.20,2854.42,15,4472.66,LOW     
79,ATM_079,Bawana,88.57,36.05,32.99,1698.58,13,4661.00,LOW     
47,ATM_047,Dilshad Garden,36.71,38.08,84.58,4307.85,10,4712.30,LOW     
14,ATM_014,Subhash Nagar,74.70,17.81,81.08,4127.44,1,4714.48,LOW     
55,ATM_055,Kondli,99.07,79.69,37.39,1881.59,11,4768.54,LOW     
35,ATM_035,Safdarjung,50.99,19.72,87.13,4155.53,5,5032.10,LOW     
94,ATM_094,Pandav Nagar,97.78,7.21,95.11,4531.93,5,5037.04,LOW     
77,ATM_077,Tikri Kalan,64.44,21.85,73.95,3480.06,12,5099.87,LOW     
96,ATM_096,East Vinod Nagar,14.01,46.53,87.14,3933.60,8,5316.71,LOW     
40,ATM_040,Govindpuri,41.43,95.74,57.50,2533.43,12,5447.40,LOW     
30,ATM_030,Malviya Nagar,16.82,95.64,72.57,3151.89,8,5526.17,LOW     
8,ATM_008,Janakpuri,78.58,57.08,76.92,3306.07,13,5584.21,LOW     
90,ATM_090,Daryaganj,14.53,88.09,90.76,3899.24,3,5586.21,LOW     
34,ATM_034,Green Park,87.03,91.29,96.49,4075.00,5,5682.75,LOW     
29,ATM_029,Chittaranjan Park,78.46,12.72,35.81,1500.65,11,5727.74,LOW     
56,ATM_056,Mandawali,92.95,62.84,92.23,3844.91,14,5757.26,LOW     
19,ATM_019,Model Town,79.42,86.55,74.26,3008.73,7,5923.89,LOW     
91,ATM_091,Indraprastha,51.97,28.92,22.02,811.39,14,6513.60,LOW     
83,ATM_083,Sultanpuri,39.26,35.95,88.03,3141.38,10,6725.62,LOW     
15,ATM_015,Tagore Garden,2.97,13.40,63.74,2211.50,12,6917.69,LOW     
92,ATM_092,IP Extension,20.03,91.86,87.86,3038.72,11,6939.22,LOW     
46,ATM_046,Shahdara,53.56,4.25,64.61,2215.85,2,6997.56,LOW     
42,ATM_042,Nehru Place,15.13,57.19,60.63,2049.01,11,7101.05,LOW     
13,ATM_013,Tilak Nagar,99.54,19.00,68.43,2297.23,11,7148.75,LOW     
84,ATM_084,Mangolpuri,32.17,96.67,73.15,2291.35,10,7661.92,LOW     
11,ATM_011,Vikaspuri,19.28,6.47,98.65,2957.39,7,8005.91,LOW     
4,ATM_004,Saket,24.74,18.83,32.33,965.56,11,8036.57,LOW     
74,ATM_074,Rani Bagh,54.96,19.78,74.36,2132.56,2,8368.97,LOW     
64,ATM_064,Mustafabad,52.56,0.79,79.09,2226.46,7,8525.29,LOW     
3,ATM_003,Karol Bagh,10.71,81.55,90.05,2534.13,11,8528.80,LOW     
71,ATM_071,Burari,72.01,77.69,87.70,2465.90,2,8535.44,LOW     
32,ATM_032,Greater Kailash 2,42.93,32.19,35.27,988.83,7,8559.37,LOW     
80,ATM_080,Narela,77.61,80.77,84.90,2159.24,1,9436.16,LOW     
53,ATM_053,Patparganj,77.47,80.57,97.10,2448.41,5,9518.51,LOW     
54,ATM_054,Vasundhara Enclave,44.20,98.18,96.90,2320.49,9,10021.66,LOW     
60,ATM_060,Yamuna Vihar,26.88,21.52,65.81,1545.38,7,10220.90,LOW     
1,ATM_001,Connaught Place,0.03,52.46,73.54,1684.87,12,10475.65,LOW     
48,ATM_048,Geeta Colony,55.32,5.23,73.30,1673.43,7,10512.33,LOW     
58,ATM_058,Karkardooma,42.85,73.11,72.20,1590.91,15,10892.41,LOW     
98,ATM_098,Mehrauli,31.64,22.93,50.65,975.33,2,12464.01,LOW     
41,ATM_041,Kalkaji,93.72,49.27,46.01,884.42,5,12485.82,LOW     
12,ATM_012,Uttam Nagar,99.33,43.37,70.16,1340.33,8,12562.22,LOW     
44,ATM_044,Preet Vihar,5.70,63.03,67.45,1184.30,1,13668.58,LOW     
5,ATM_005,Dwarka Sector 10,53.44,84.45,73.70,852.50,11,20748.98,LOW     
37,ATM_037,Defence Colony,68.00,99.66,97.57,1086.46,1,21552.66,LOW     
73,ATM_073,Mukherjee Nagar,82.80,62.79,51.68,523.01,15,23715.46,LOW     
24,ATM_024,Chandni Chowk,36.57,71.02,93.56,580.18,5,38700.71,LOW     
